College,Annual athletic fee,Total $ from student athletic fees,Athletic dept. revenues,Revenue paid by student fees
Alabama A & M University*,$138,"$346,150","$10,084,138",3%
Alabama State University,$0,$0,"$13,551,412",0%
Alcorn State University**,$444,"$1,284,402","$5,740,720",22%
Appalachian State University,$760,"$12,518,144","$36,940,867",34%
Arizona State University,$300,"$10,854,768","$113,636,755",10%
Arkansas State University,$270,"$4,639,228","$40,098,989",12%
Auburn University,$192,"$5,785,452","$147,620,569",4%
Austin Peay State University,$450,"$3,904,709","$16,435,502",24%
Ball State University**,$879,"$13,300,000","$28,634,103",46%
Binghamton University*,$608,"$7,454,442","$17,709,758",42%
Boise State University,$231,"$3,503,114","$48,109,196",7%
Bowling Green State University,$981,"$12,780,182","$24,673,957",52%
California Polytechnic State University,$486,"$8,536,403","$30,918,417",28%
California State University-Bakersfield,$91,"$3,893,841","$17,470,036",22%
California State University-Fresno,$198,"$4,451,327","$50,636,750",9%
California State University-Fullerton**,$256,"$7,273,110","$19,265,152",38%
California State University-Long Beach**,$763,"$4,104,321","$20,892,086",20%
California State University-Northridge,$306,"$4,193,012","$18,500,309",23%
California State University-Sacramento*,$276,"$8,417,312","$26,504,987",32%
Central Connecticut State University,$0,$0,"$16,805,088",0%
Central Michigan University,$0,$0,"$39,989,495",0%
Chicago State University,$310,"$936,562","$5,524,399",17%
Citadel Military College of South Carolina,"$2,713","$7,207,050","$18,401,833",39%
Clemson University,$0,$0,"$120,532,975",0%
Cleveland State University,$90,"$11,661,596","$13,660,866",85%
Coastal Carolina University,$520,"$4,853,118","$36,392,897",13%
College of Charleston,"$1,278","$12,894,192","$20,906,153",62%
College of William and Mary,"$1,900","$14,551,402","$29,259,321",50%
Colorado State University,$230,"$5,871,750","$54,728,814",11%
Coppin State University,$800,"$2,020,012","$3,561,797",57%
Delaware State University,$0,$0,"$14,615,460",0%
East Carolina University,$723,"$15,794,966","$46,861,190",34%
East Tennessee State University,$454,"$6,315,208","$24,780,474",25%
Eastern Illinois University,$312,"$1,475,140","$10,983,445",13%
Eastern Kentucky University,$0,$0,"$17,328,835",0%
Eastern Michigan University,$0,$0,"$30,681,039",0%
Eastern Washington University**,$218,"$2,075,000","$13,810,812",15%
Florida A & M University,$419,"$3,945,637","$11,549,120",34%
Florida Atlantic University,$518,"$12,745,546","$35,275,379",36%
Florida Gulf Coast University,$526,"$6,705,951","$16,297,752",41%
Florida International University,$483,"$21,584,797","$35,631,959",61%
Florida State University*,$237,"$8,493,715","$168,177,850",5%
George Mason University,$553,"$15,630,862","$30,807,123",51%
Georgia Institute of Technology,$254,"$5,448,836","$91,647,068",6%
Georgia Southern University*,$508,"$11,403,807","$31,696,141",36%
Georgia State University,$550,"$19,269,762","$39,546,233",49%
Grambling State University,$200,"$1,109,750","$9,293,839",12%
Idaho State University,$238,"$1,798,079","$12,755,755",14%
Illinois State University,$601,"$10,559,954","$28,145,272",38%
Indiana State University**,"$1,145","$10,704,911","$16,505,426",65%
Indiana University-Bloomington,$0,$0,"$122,933,136",0%
Indiana University-Purdue Indianapolis,$114,"$3,193,461","$10,882,809",29%
Indiana University-Purdue University-Fort Wayne,$260,"$1,725,794","$10,466,658",16%
Iowa State University,$63,"$2,093,104","$88,753,664",2%
Jackson State University**,$439,"$2,606,472","$8,120,167",32%
Jacksonville State University,$180,"$1,050,088","$17,669,621",6%
James Madison University,"$2,340","$38,932,918","$51,719,402",75%
Kansas State University,$21,"$350,000","$86,911,309",0.40%
Kennesaw State University,$442,"$15,035,686","$25,982,350",58%
Kent State University,$744,"$14,016,822","$28,789,819",49%
Lamar University*,$317,"$4,230,575","$18,379,145",23%
Longwood University,"$2,012","$7,978,606","$12,163,488",66%
Louisiana State University and A & M College,$0,$0,"$145,422,796",0%
Louisiana Tech University,$0,$0,"$23,672,886",0%
Marshall University,$420,"$6,875,387","$30,612,153",22%
McNeese State University,$114,"$727,254","$11,986,700",6%
Miami University-Oxford,"$1,012","$17,763,652","$36,772,588",48%
Michigan State University,$0,$0,"$145,640,289",0%
Middle Tennessee State University,$420,"$8,031,465","$35,353,956",23%
Mississippi State University,$0,$0,"$103,858,865",0%
Mississippi Valley State University,$416,"$843,343","$4,175,281",20%
